Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 0.500097, 17.250000, 0.000309, 0.012346, 0.246914, 4.938272, 6.283173, 
50, 0.501456, 17.250000, 0.001668, 0.027194, 0.296975, 1.001224, 6.283007, 
50, 0.504516, 17.249999, 0.004728, 0.061192, 0.679942, 7.659344, 6.282631, 
50, 0.509956, 17.249994, 0.010168, 0.108799, 0.952142, 5.444003, 6.281962, 
50, 0.518457, 17.249979, 0.018670, 0.170033, 1.224691, 5.450981, 6.280915, 
50, 0.530704, 17.249942, 0.030916, 0.244924, 1.497810, 5.462375, 6.279401, 
50, 0.547379, 17.249862, 0.047591, 0.333513, 1.771784, 5.479486, 6.277331, 
50, 0.569171, 17.249704, 0.069384, 0.435861, 2.046967, 5.503656, 6.274612, 
50, 0.596773, 17.249420, 0.096987, 0.552050, 2.323780, 5.536269, 6.271141, 
50, 0.630878, 17.248936, 0.131096, 0.682187, 2.602732, 5.579041, 6.266815, 
50, 0.672191, 17.248150, 0.172417, 0.826408, 2.884425, 5.633851, 6.261515, 
50, 0.721420, 17.246926, 0.221661, 0.984887, 3.169573, 5.702956, 6.255115, 
50, 0.778940, 17.245093, 0.279210, 1.150980, 3.321869, 3.045925, 6.247519, 
50, 0.844788, 17.242452, 0.345111, 1.318022, 3.340832, 0.379265, 6.238662, 
50, 0.919006, 17.238768, 0.419420, 1.486183, 3.363219, 0.447734, 6.228472, 
50, 1.001637, 17.233763, 0.502203, 1.655648, 3.389305, 0.521710, 6.216860, 
50, 1.092726, 17.227114, 0.593534, 1.826617, 3.419386, 0.601633, 6.203727, 
50, 1.192315, 17.218447, 0.693499, 1.999305, 3.453762, 0.687519, 6.188957, 
50, 1.300442, 17.207330, 0.802196, 2.173941, 3.492708, 0.778918, 6.172421, 
50, 1.417135, 17.193266, 0.919734, 2.350763, 3.536437, 0.874571, 6.153973, 
50, 1.542409, 17.175687, 1.046235, 2.530015, 3.585038, 0.972028, 6.133451, 
50, 1.676251, 17.153943, 1.181831, 2.711934, 3.638385, 1.066932, 6.110676, 
50, 1.818615, 17.127295, 1.326668, 2.896734, 3.696010, 1.152513, 6.085456, 
50, 1.969405, 17.094907, 1.480897, 3.084581, 3.756929, 1.218372, 6.057589, 
50, 2.128454, 17.055839, 1.644675, 3.275551, 3.819404, 1.249510, 6.026864, 
50, 2.295504, 17.009047, 1.818154, 3.469585, 3.880672, 1.225358, 5.993079, 
50, 2.470169, 16.953383, 2.001475, 3.666416, 3.936628, 1.119117, 5.956044, 
50, 2.651566, 16.887742, 2.194382, 3.858151, 3.834690, -2.038760, 5.915689, 
50, 2.838289, 16.811167, 2.396197, 4.036305, 3.563081, -5.432189, 5.872095, 
50, 3.028758, 16.722818, 2.606159, 4.199228, 3.258467, -6.092280, 5.825455, 
50, 3.221221, 16.622049, 2.823407, 4.344962, 2.914675, -6.875829, 5.776091, 
50, 3.413795, 16.508477, 3.046976, 4.471384, 2.528450, -7.724495, 5.724467, 
50, 3.604524, 16.382057, 3.275798, 4.576442, 2.101147, -8.546077, 5.671187, 
50, 3.791470, 16.243119, 3.508720, 4.658433, 1.639837, -9.226191, 5.616965, 
50, 3.972819, 16.092384, 3.744535, 4.716293, 1.157196, -9.652826, 5.562589, 
50, 4.146980, 15.930925, 3.982024, 4.749785, 0.669836, -9.747197, 5.508862, 
50, 4.312674, 15.760106, 4.220002, 4.759555, 0.195406, -9.488600, 5.456542, 
50, 4.468975, 15.581485, 4.457353, 4.747022, -0.250661, -8.921344, 5.406296, 
50, 4.615325, 15.396717, 4.693060, 4.714139, -0.657673, -8.140242, 5.358657, 
50, 4.751706, 15.207168, 4.926573, 4.670271, -0.877346, -4.393462, 5.313946, 
50, 4.878519, 15.013825, 5.157793, 4.624403, -0.917362, -0.800307, 5.272297, 
50, 4.996283, 14.817548, 5.386689, 4.577907, -0.929922, -0.251199, 5.233751, 
50, 5.105593, 14.619065, 5.613282, 4.531865, -0.920850, 0.181443, 5.198278, 
50, 5.207085, 14.418980, 5.837635, 4.487067, -0.895943, 0.498127, 5.165793, 
50, 5.301406, 14.217790, 6.059838, 4.444048, -0.860394, 0.710990, 5.136179, 
50, 5.389192, 14.015893, 6.279994, 4.403122, -0.818507, 0.837735, 5.109296, 
50, 5.471059, 13.813610, 6.498216, 4.364440, -0.773645, 0.897243, 5.084993, 
50, 5.547592, 13.611194, 6.714617, 4.328025, -0.728300, 0.906899, 5.063119, 
50, 5.619343, 13.408848, 6.929308, 4.293814, -0.684230, 0.881396, 5.043526, 
50, 5.686827, 13.206732, 7.142392, 4.261683, -0.642611, 0.832377, 5.026077, 
50, 5.750526, 13.004975, 7.353966, 4.231474, -0.604181, 0.768611, 5.010643, 
50, 5.810889, 12.803681, 7.564116, 4.203006, -0.569358, 0.696461, 4.997107, 
50, 5.868334, 12.602933, 7.772920, 4.176089, -0.538341, 0.620329, 4.985366, 
50, 5.923252, 12.402806, 7.980447, 4.150530, -0.511185, 0.543116, 4.975330, 
50, 5.976012, 12.203359, 8.186754, 4.126137, -0.487854, 0.466623, 4.966920, 
50, 6.026959, 12.004650, 8.391890, 4.102724, -0.468262, 0.391844, 4.960071, 
50, 6.076420, 11.806731, 8.595895, 4.080109, -0.452302, 0.319203, 4.954730, 
